1.41,0,3500,3123.67,137.46
1.46,0,3500,3165.33,126.84
1.51,0,3500,3203.72,117
1.56,0,3500,3239.53,107.74
1.61,0,3500,3272.51,99.15
1.66,0,3500,3302.83,91.19
1.71,0,3500,3330.69,83.82
1.76,0,3500,3355.85,77.11
1.81,0,3500,3379.16,70.84
1.86,0,3500,3400.45,65.06
1.91,0,3500,3419.58,59.82
1.96,0,3500,3436.75,55.07
,,,,
2.01,1,3500,3452.36,50.7
2.06,1,3500,3466.5,46.7
2.11,1,3500,3478.72,43.2
2.16,1,3500,3489.64,40.03
2.21,1,3500,3499,37.27
2.26,1,3500,3507.25,34.8
2.31,1,3500,3514.39,32.63
2.36,1,3500,3520.57,30.7
2.41,1,3500,3526.14,28.93
2.46,1,3500,3530.34,27.54
2.51,1,3500,3533.92,26.31
2.56,1,3500,3537.27,25.14
2.61,1,3500,3539.56,24.26
2.66,1,3500,3541.13,23.59
2.71,1,3500,3542.57,22.95
2.76,1,3500,3543.6,22.44
2.81,1,3500,3544.82,21.85
2.86,1,3500,3545.63,21.38
2.91,1,3500,3546.04,21.03
2.96,1,3500,3546.64,20.62
3.01,1,3500,3546.66,20.38
3.06,1,3500,3546.58,20.17
3.11,1,3500,3546.6,19.94
3.16,1,3500,3546.22,19.82
3.21,1,3500,3545.96,19.66
3.26,1,3500,3545.51,19.57
3.31,1,3500,3545.03,19.48
3.36,1,3500,3544.73,19.35
3.41,1,3500,3544.5,19.2
3.46,1,3500,3544.42,19
3.51,1,3500,3543.85,18.94
3.56,1,3500,3543.31,18.89
3.61,1,3500,3542.79,18.83
3.66,1,3500,3542.2,18.79
3.71,1,3500,3541.94,18.66
3.76,1,3500,3541.5,18.58
3.81,1,3500,3541.22,18.46
3.86,1,3500,3540.61,18.43
3.91,1,3500,3540.13,18.37
3.96,1,3500,3539.72,18.3
4.01,1,3500,3539.39,18.2
4.06,1,3500,3538.87,18.16
4.11,1,3500,3538.72,18
4.16,1,3500,3538.44,17.9
4.21,1,3500,3537.62,17.95
4.26,1,3500,3536.89,17.98
4.31,1,3500,3536.04,18.05
4.36,1,3500,3535.94,17.9
4.41,1,3500,3535.24,17.93
4.46,1,3500,3534.43,18
4.51,1,3500,3533.71,18.04
4.56,1,3500,3533.67,17.88
4.61,1,3500,3533.04,17.91
4.66,1,3500,3532.34,17.95
4.71,1,3500,3531.92,17.92
4.76,1,3500,3531.27,17.95
4.81,1,3500,3530.76,17.95
4.86,1,3500,3530.32,17.92
4.91,1,3500,3529.81,17.93
4.96,1,3500,3529.32,17.93
5.01,1,3500,3528.95,17.89
5.06,1,3500,3528.5,17.88
5.11,1,3500,3528.23,17.82
5.16,1,3500,3527.92,17.77
5.21,1,3500,3527.67,17.71
5.26,1,3500,3527.54,17.61
5.31,1,3500,3527.26,17.55
5.36,1,3500,3527.25,17.42
5.41,1,3500,3527.24,17.29
5.46,1,3500,3526.87,17.26
5.51,1,3500,3526.73,17.17
5.56,1,3500,3526.49,17.11
5.61,1,3500,3526.32,17.03
5.66,1,3500,3526.2,16.93
5.71,1,3500,3525.89,16.89
5.76,1,3500,3524.9,17.06
5.81,1,3500,3524.75,16.98
5.86,1,3500,3524.32,16.99
5.91,1,3500,3524,16.96
5.96,1,3500,3523.55,16.97
6.01,1,3500,3523.12,16.99
6.06,1,3500,3522.82,16.96
6.11,1,3500,3522.43,16.96
6.16,1,3500,3521.85,17.02
6.21,1,3500,3521.96,16.88
6.26,1,3500,3521.86,16.8
6.31,1,3500,3521.62,16.77
6.36,1,3500,3521.24,16.77
6.41,1,3500,3521.08,16.71
6.46,1,3500,3520.77,16.7
6.51,1,3500,3520.28,16.74
6.56,1,3500,3520.17,16.68
6.61,1,3500,3519.71,16.71
6.66,1,3500,3519.38,16.71
