1.45,3500.00,2953.43,181.19
1.50,3500.00,2994.31,171.66
1.55,3500.00,3032.59,162.71
1.60,3500.00,3068.46,154.28
1.65,3500.00,3101.79,146.44
1.70,3500.00,3132.65,139.17
1.75,3500.00,3161.67,132.31
1.80,3500.00,3188.38,125.98
1.85,3500.00,3213.26,120.08
1.90,3500.00,3236.70,114.48
1.95,3500.00,3258.07,109.39
2.00,3500.00,3278.11,104.58
2.05,3500.00,3296.76,100.10
2.10,3500.00,3314.22,95.87
2.15,3500.00,3330.26,91.99
2.20,3500.00,3344.89,88.45
2.25,3500.00,3358.40,85.17
2.30,3500.00,3373.53,81.34
2.35,3500.00,3385.00,78.53
2.40,3500.00,3394.70,76.20
2.45,3500.00,3404.12,73.90
2.50,3500.00,3412.86,71.76
2.55,3500.00,3420.77,69.82
2.60,3500.00,3428.28,67.96
2.65,3500.00,3435.27,66.23
2.70,3500.00,3441.65,64.63
2.75,3500.00,3447.82,63.07
2.80,3500.00,3453.23,61.71
2.85,3500.00,3458.12,60.48
2.90,3500.00,3462.76,59.30
2.95,3500.00,3466.97,58.22
3.00,3500.00,3470.77,57.24
3.05,3500.00,3474.39,56.31
3.10,3500.00,3477.57,55.48
3.15,3500.00,3480.49,54.72
3.20,3500.00,3483.16,54.01
3.25,3500.00,3485.81,53.30
3.30,3500.00,3488.32,52.62
3.35,3500.00,3490.40,52.05
3.40,3500.00,3492.43,51.49
3.45,3500.00,3494.46,50.92
3.50,3500.00,3496.04,50.48
3.55,3500.00,3497.38,50.09
3.60,3500.00,3498.61,49.74
3.65,3500.00,3499.83,49.38
3.70,3500.00,3500.84,49.08
3.75,3500.00,3502.05,48.71
3.80,3500.00,3503.00,48.41
3.85,3500.00,3503.85,48.14
3.90,3500.00,3504.60,47.90
3.95,3500.00,3505.27,47.67
4.00,3500.00,3505.56,47.56
4.05,3500.00,3506.23,47.33
4.10,3500.00,3506.87,47.11
4.15,3500.00,3507.53,46.88
4.20,3500.00,3507.70,46.79
4.25,3500.00,3507.97,46.67
4.30,3500.00,3508.32,46.53
4.35,3500.00,3508.65,46.38
4.40,3500.00,3508.97,46.24
4.45,3500.00,3509.27,46.11
4.50,3500.00,3509.56,45.98
4.55,3500.00,3509.98,45.80
4.60,3500.00,3510.28,45.66
4.65,3500.00,3510.07,45.68
4.70,3500.00,3510.11,45.61
4.75,3500.00,3510.26,45.52
4.80,3500.00,3510.59,45.36
4.85,3500.00,3510.41,45.37
4.90,3500.00,3510.39,45.32
4.95,3500.00,3510.62,45.20
5.00,3500.00,3510.84,45.08
5.05,3500.00,3511.00,44.98
5.10,3500.00,3510.90,44.95
5.15,3500.00,3511.01,44.87
5.20,3500.00,3511.00,44.81
5.25,3500.00,3510.90,44.79
5.30,3500.00,3511.21,44.64
5.35,3500.00,3511.45,44.51
5.40,3500.00,3511.83,44.34
5.45,3500.00,3512.23,44.16
5.50,3500.00,3512.52,44.01
5.55,3500.00,3512.75,43.88
5.60,3500.00,3512.86,43.79
5.65,3500.00,3513.07,43.66
5.70,3500.00,3513.26,43.54
5.75,3500.00,3513.60,43.37
5.80,3500.00,3513.37,43.37
5.85,3500.00,3513.30,43.32
5.90,3500.00,3513.34,43.25
5.95,3500.00,3513.82,43.03
6.00,3500.00,3513.58,43.04
6.05,3500.00,3513.80,42.90
6.10,3500.00,3513.96,42.79
6.15,3500.00,3513.81,42.76
6.20,3500.00,3513.57,42.76
6.25,3500.00,3513.44,42.74
6.30,3500.00,3513.27,42.72
6.35,3500.00,3512.96,42.75
6.40,3500.00,3512.76,42.74
6.45,3500.00,3512.67,42.70
6.50,3500.00,3512.74,42.62
6.55,3500.00,3512.65,42.58
6.60,3500.00,3512.47,42.58
6.65,3500.00,3512.59,42.48
6.70,3500.00,3512.31,42.50
6.75,3500.00,3512.40,42.41
6.80,3500.00,3512.43,42.34
6.85,3500.00,3512.31,42.31
6.90,3500.00,3512.24,42.27
6.95,3500.00,3512.53,42.12
7.00,3500.00,3512.60,42.04
7.05,3500.00,3512.47,42.01
7.10,3500.00,3512.55,41.93
7.15,3500.00,3512.27,41.95
7.20,3500.00,3512.31,41.88
7.25,3500.00,3512.14,41.87
7.30,3500.00,3512.04,41.84
7.35,3500.00,3511.73,41.87
7.40,3500.00,3511.70,41.82
7.45,3500.00,3511.66,41.77
7.50,3500.00,3511.73,41.69
7.55,3500.00,3511.89,41.59
7.60,3500.00,3511.50,41.64
7.65,3500.00,3511.42,41.61
7.70,3500.00,3511.20,41.62
7.75,3500.00,3510.99,41.63
7.80,3500.00,3510.59,41.69
7.85,3500.00,3510.31,41.72
7.90,3500.00,3510.00,41.76
7.95,3500.00,3510.05,41.70
8.00,3500.00,3510.04,41.65
8.05,3500.00,3510.39,41.50
8.10,3500.00,3510.42,41.43
8.15,3500.00,3510.40,41.39
8.20,3500.00,3510.23,41.39
8.25,3500.00,3510.02,41.40
8.30,3500.00,3509.87,41.40
8.35,3500.00,3509.92,41.33
8.40,3500.00,3510.18,41.20
8.45,3500.00,3510.17,41.16
8.50,3500.00,3510.31,41.06
8.55,3500.00,3510.15,41.06
8.60,3500.00,3510.14,41.01
8.65,3500.00,3509.88,41.04
8.70,3500.00,3510.14,40.91
8.75,3500.00,3509.98,40.91
8.80,3500.00,3509.73,40.93
8.85,3500.00,3509.74,40.88
8.90,3500.00,3509.56,40.89
8.95,3500.00,3509.28,40.92
9.00,3500.00,3509.07,40.94
9.05,3500.00,3509.01,40.91
9.10,3500.00,3508.91,40.90
9.15,3500.00,3508.67,40.93
9.20,3500.00,3508.43,40.95
9.25,3500.00,3508.26,40.96
9.30,3500.00,3508.05,40.98
9.35,3500.00,3508.15,40.91
9.40,3500.00,3508.04,40.91
9.45,3500.00,3507.99,40.88
9.50,3500.00,3507.89,40.87
9.55,3500.00,3507.69,40.89
9.60,3500.00,3505.91,41.39
9.65,3500.00,3506.16,41.28
9.70,3500.00,3506.15,41.25
9.75,3500.00,3506.40,41.15
9.80,3500.00,3506.33,41.14
9.85,3500.00,3506.36,41.10
9.90,3500.00,3506.39,41.06
9.95,3500.00,3506.57,40.97
10.00,3500.00,3506.64,40.92
10.05,3500.00,3506.51,40.92
10.10,3500.00,3506.49,40.90
10.15,3500.00,3506.36,40.90
10.20,3500.00,3506.14,40.94
10.25,3500.00,3505.79,41.01
10.30,3500.00,3505.65,41.02
10.35,3500.00,3505.26,41.11
10.40,3500.00,3504.20,41.40
10.45,3500.00,3502.69,41.84
10.50,3500.00,3500.41,42.51
10.55,3500.00,3497.19,43.47
10.60,3500.00,3492.38,44.93
10.65,3500.00,3485.11,47.15
10.70,3500.00,3475.70,50.04
10.75,3500.00,3464.27,53.60
10.80,3500.00,3451.05,57.74
10.85,3500.00,3437.50,62.05
10.90,3500.00,3426.68,65.61
10.95,3500.00,3418.24,68.51
11.00,3500.00,3414.28,70.10
11.05,3500.00,3410.62,71.63
11.10,3500.00,3406.94,73.18
11.15,3500.00,3403.94,74.55
11.20,3500.00,3401.39,75.79
11.25,3500.00,3399.47,76.86
11.30,3500.00,3398.05,77.79
11.35,3500.00,3396.75,78.69
11.40,3500.00,3393.76,80.10
11.45,3500.00,3392.92,80.88
11.50,3500.00,3392.07,81.67
11.55,3500.00,3391.42,82.41
11.60,3500.00,3391.00,83.08
11.65,3500.00,3390.80,83.68
11.70,3500.00,3390.66,84.27
11.75,3500.00,3390.63,84.83
11.80,3500.00,3390.70,85.36
11.85,3500.00,3390.81,85.87
11.90,3500.00,3391.17,86.31
11.95,3500.00,3391.66,86.70
12.00,3500.00,3392.08,87.12
12.05,3500.00,3392.42,87.55
12.10,3500.00,3392.75,87.99
12.15,3500.00,3393.02,88.45
12.20,3500.00,3393.46,88.85
12.25,3500.00,3393.74,89.30
12.30,3500.00,3394.45,89.62
12.35,3500.00,3395.13,89.94
12.40,3500.00,3395.77,90.27
12.45,3500.00,3396.49,90.58
12.50,3500.00,3397.06,90.93
12.55,3500.00,3397.66,91.26
12.60,3500.00,3398.38,91.56
12.65,3500.00,3399.21,91.82
12.70,3500.00,3400.00,92.09
12.75,3500.00,3400.90,92.32
12.80,3500.00,3401.95,92.49
12.85,3500.00,3402.75,92.74
12.90,3500.00,3403.77,92.93
12.95,3500.00,3404.18,93.28
13.00,3500.00,3404.42,93.69
13.05,3500.00,3404.65,94.10
13.10,3500.00,3408.22,93.51
13.15,3500.00,3408.20,93.97
13.20,3500.00,3407.49,94.64
13.25,3500.00,3407.82,95.01
13.30,3500.00,3408.18,95.36
13.35,3500.00,3408.42,95.75
13.40,3500.00,3408.70,96.12
13.45,3500.00,3408.81,96.54
13.50,3500.00,3408.92,96.96
13.55,3500.00,3409.03,97.39
13.60,3500.00,3409.28,97.77
13.65,3500.00,3409.46,98.17
13.70,3500.00,3409.94,98.48
13.75,3500.00,3410.34,98.81
13.80,3500.00,3410.97,99.06
13.85,3500.00,3411.48,99.36
13.90,3500.00,3412.15,99.60
13.95,3500.00,3412.44,99.95
14.00,3500.00,3413.12,100.18
14.05,3500.00,3413.77,100.43
14.10,3500.00,3414.23,100.72
14.15,3500.00,3414.62,101.03
14.20,3500.00,3415.19,101.29
14.25,3500.00,3415.58,101.59
14.30,3500.00,3416.00,101.89
14.35,3500.00,3416.35,102.20
14.40,3500.00,3416.98,102.43
14.45,3500.00,3417.48,102.70
14.50,3500.00,3418.56,102.79
14.55,3500.00,3419.48,102.92
14.60,3500.00,3419.85,103.21
14.65,3500.00,3420.86,103.31
14.70,3500.00,3421.67,103.46
14.75,3500.00,3422.44,103.62
14.80,3500.00,3423.31,103.75
14.85,3500.00,3424.05,103.91
14.90,3500.00,3424.45,104.17
14.95,3500.00,3424.97,104.39
15.00,3500.00,3425.52,104.60
15.05,3500.00,3426.25,104.75
15.10,3500.00,3426.79,104.96
15.15,3500.00,3427.50,105.12
15.20,3500.00,3428.27,105.25
15.25,3500.00,3429.01,105.38
15.30,3500.00,3429.86,105.48
15.35,3500.00,3430.61,105.61
15.40,3500.00,3431.38,105.72
15.45,3500.00,3432.16,105.83
15.50,3500.00,3433.21,105.86
15.55,3500.00,3434.40,105.84
15.60,3500.00,3435.73,105.76
15.65,3500.00,3437.09,105.68
15.70,3500.00,3438.39,105.60
15.75,3500.00,3440.37,105.32
15.80,3500.00,3442.40,105.00
15.85,3500.00,3444.23,104.74
15.90,3500.00,3445.87,104.53
15.95,3500.00,3447.37,104.35
16.00,3500.00,3448.50,104.27
16.05,3500.00,3449.68,104.18
16.10,3500.00,3450.65,104.14
16.15,3500.00,3451.26,104.20
16.20,3500.00,3451.65,104.33
16.25,3500.00,3452.47,104.33
16.30,3500.00,3453.19,104.35
16.35,3500.00,3453.68,104.43
16.40,3500.00,3454.40,104.45
16.45,3500.00,3454.63,104.61
16.50,3500.00,3455.35,104.62
16.55,3500.00,3456.23,104.58
16.60,3500.00,3456.92,104.59
16.65,3500.00,3457.67,104.58
16.70,3500.00,3458.39,104.58
16.75,3500.00,3459.12,104.57
16.80,3500.00,3459.86,104.55
16.85,3500.00,3460.72,104.49
16.90,3500.00,3460.83,104.65
16.95,3500.00,3460.79,104.86
17.00,3500.00,3460.85,105.04
17.05,3500.00,3461.11,105.16
17.10,3500.00,3460.85,105.43
17.15,3500.00,3460.76,105.65
17.20,3500.00,3460.47,105.93
17.25,3500.00,3460.25,106.20
17.30,3500.00,3460.09,106.45
17.35,3500.00,3459.93,106.69
17.40,3500.00,3459.89,106.91
17.45,3500.00,3459.79,107.14
17.50,3500.00,3459.85,107.32
17.55,3500.00,3460.01,107.47
17.60,3500.00,3460.56,107.51
17.65,3500.00,3461.08,107.55
17.70,3500.00,3461.63,107.58
17.75,3500.00,3462.15,107.62
17.80,3500.00,3462.64,107.66
17.85,3500.00,3463.21,107.67
17.90,3500.00,3463.80,107.68
17.95,3500.00,3464.71,107.59
18.00,3500.00,3465.42,107.55
18.05,3500.00,3466.20,107.49
18.10,3500.00,3466.54,107.56
18.15,3500.00,3466.26,107.81
18.20,3500.00,3465.60,108.17
18.25,3500.00,3465.07,108.51
18.30,3500.00,3464.47,108.86
18.35,3500.00,3464.24,109.11
18.40,3500.00,3464.38,109.24
18.45,3500.00,3465.01,109.23
