214.83,3767.8
215.03,3768.12
215.23,3768.41
215.43,3768.97
215.63,3769.17
215.83,3769.35
216.03,3769.12
216.23,3769.91
216.43,3770.52
216.63,3770.96
216.83,3770.77
217.03,3770.39
217.23,3769.95
217.43,3770.06
217.63,3769.75
217.83,3769.58
218.03,3769.62
218.23,3769.16
218.43,3769.94
218.63,3769.85
218.83,3770.26
219.03,3770.34
219.23,3769.8
219.43,3769.72
219.63,3770.25
219.83,3770.52
220.03,3770.57
220.23,3777.12
220.43,3783.3
220.63,3789.67
220.83,3795.01
221.03,3799.81
221.23,3803.82
221.43,3808.04
221.63,3811.94
221.83,3824.64
222.03,3834.68
222.23,3845.21
222.43,3856.59
222.63,3864.03
222.83,3869.63
223.03,3873.37
223.23,3875.53
223.43,3878.58
223.63,3881.32
223.83,3883.59
224.03,3884.63
224.23,3885.77
224.43,3886.49
224.63,3888.04
224.83,3889.04
225.03,3889.93
225.23,3890.64
225.43,3891.77
225.63,3892.6
225.83,3892.54
226.03,3892.38
226.23,3892.65
226.43,3893.08
226.63,3893.07
226.83,3893.27
227.03,3893.74
227.23,3893.27
227.43,3893.24
227.63,3893.81
227.83,3894.73
228.03,3894.56
228.23,3894.5
228.43,3894.55
228.63,3894.1
228.83,3893.49
229.03,3892.54
229.23,3885.69
229.43,3878.02
229.63,3868.72
229.83,3838.34
230.03,3809.81
230.23,3784.23
230.43,3760.81
230.63,3740.13
230.83,3743.11
231.03,3746.1
231.23,3748.99
231.43,3751.59
231.63,3753.93
231.83,3756.04
232.03,3758.04
232.23,3759.73
232.43,3761.16
232.63,3762.14
232.83,3763.23
233.03,3763.81
233.23,3764.53
233.43,3763.77
233.63,3764.7
233.83,3765.93
234.03,3765.43
